0.956 (+/-0.003) for {'gamma': 0.0001, 'C': 100, 'degree': 1, 'kernel': 'poly'}
0.887 (+/-0.003) for {'gamma': 1e-05, 'C': 100, 'degree': 1, 'kernel': 'poly}

0.979 (+/-0.001) for {'gamma': 0.1, 'C': 100, 'degree': 2, 'kernel': 'poly'}
0.979 (+/-0.001) for {'gamma': 0.01, 'C': 100, 'degree': 2, 'kernel': 'poly'}
0.974 (+/-0.002) for {'gamma': 0.001, 'C': 100, 'degree': 2, 'kernel': 'poly'}
0.853 (+/-0.003) for {'gamma': 0.0001, 'C': 100, 'degree': 2, 'kernel': 'poly'}
0.243 (+/-0.001) for {'gamma': 1e-05, 'C': 100, 'degree': 2, 'kernel': 'poly'}

0.980 (+/-0.001) for {'gamma': 0.1, 'C': 100, 'degree': 3, 'kernel': 'poly'}
0.980 (+/-0.001) for {'gamma': 0.01, 'C': 100, 'degree': 3, 'kernel': 'poly'}
0.967 (+/-0.002) for {'gamma': 0.001, 'C': 100, 'degree': 3, 'kernel': 'poly'}
0.515 (+/-0.001) for {'gamma': 0.0001, 'C': 100, 'degree': 3, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 100, 'degree': 3, 'kernel': 'poly'}

0.980 (+/-0.002) for {'gamma': 0.1, 'C': 100, 'degree': 4, 'kernel': 'poly'}
0.980 (+/-0.002) for {'gamma': 0.01, 'C': 100, 'degree': 4, 'kernel': 'poly'}
0.950 (+/-0.002) for {'gamma': 0.001, 'C': 100, 'degree': 4, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 100, 'degree': 4, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 100, 'degree': 4, 'kernel': 'poly'}

0.980 (+/-0.002) for {'gamma': 0.1, 'C': 100, 'degree': 5, 'kernel': 'poly'}
0.980 (+/-0.002) for {'gamma': 0.01, 'C': 100, 'degree': 5, 'kernel': 'poly'}
0.906 (+/-0.003) for {'gamma': 0.001, 'C': 100, 'degree': 5, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 100, 'degree': 5, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 100, 'degree': 5, 'kernel': 'poly'}

0.981 (+/-0.002) for {'gamma': 0.1, 'C': 100, 'degree': 6, 'kernel': 'poly'}
0.981 (+/-0.002) for {'gamma': 0.01, 'C': 100, 'degree': 6, 'kernel': 'poly'}
0.815 (+/-0.006) for {'gamma': 0.001, 'C': 100, 'degree': 6, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 100, 'degree': 6, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 100, 'degree': 6, 'kernel': 'poly'}

0.981 (+/-0.002) for {'gamma': 0.1, 'C': 100, 'degree': 7, 'kernel': 'poly'}
0.981 (+/-0.002) for {'gamma': 0.01, 'C': 100, 'degree': 7, 'kernel': 'poly'}
0.659 (+/-0.002) for {'gamma': 0.001, 'C': 100, 'degree': 7, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 100, 'degree': 7, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 100, 'degree': 7, 'kernel': 'poly'}

0.981 (+/-0.002) for {'gamma': 0.1, 'C': 100, 'degree': 8, 'kernel': 'poly'}
0.981 (+/-0.002) for {'gamma': 0.01, 'C': 100, 'degree': 8, 'kernel': 'poly'}
0.614 (+/-0.002) for {'gamma': 0.001, 'C': 100, 'degree': 8, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 100, 'degree': 8, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 100, 'degree': 8, 'kernel': 'poly'}

0.980 (+/-0.002) for {'gamma': 0.1, 'C': 100, 'degree': 9, 'kernel': 'poly'}
0.980 (+/-0.002) for {'gamma': 0.01, 'C': 100, 'degree': 9, 'kernel': 'poly'}
0.590 (+/-0.003) for {'gamma': 0.001, 'C': 100, 'degree': 9, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 100, 'degree': 9, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 100, 'degree': 9, 'kernel': 'poly'}

0.980 (+/-0.001) for {'gamma': 0.1, 'C': 100, 'degree': 10, 'kernel': 'poly'}
0.980 (+/-0.001) for {'gamma': 0.01, 'C': 100, 'degree': 10, 'kernel': 'poly'}
0.513 (+/-0.002) for {'gamma': 0.001, 'C': 100, 'degree': 10, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 100, 'degree': 10, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 100, 'degree': 10, 'kernel': 'poly'}

0.973 (+/-0.002) for {'gamma': 0.1, 'C': 1000, 'degree': 1, 'kernel': 'poly'}
0.974 (+/-0.002) for {'gamma': 0.01, 'C': 1000, 'degree': 1, 'kernel': 'poly'}
0.974 (+/-0.002) for {'gamma': 0.001, 'C': 1000, 'degree': 1, 'kernel': 'poly'}
0.974 (+/-0.002) for {'gamma': 0.0001, 'C': 1000, 'degree': 1, 'kernel': 'poly'}
0.956 (+/-0.003) for {'gamma': 1e-05, 'C': 1000, 'degree': 1, 'kernel': 'poly'}

0.979 (+/-0.001) for {'gamma': 0.1, 'C': 1000, 'degree': 2, 'kernel': 'poly'}
0.979 (+/-0.001) for {'gamma': 0.01, 'C': 1000, 'degree': 2, 'kernel': 'poly'}
0.978 (+/-0.002) for {'gamma': 0.001, 'C': 1000, 'degree': 2, 'kernel': 'poly'}
0.947 (+/-0.002) for {'gamma': 0.0001, 'C': 1000, 'degree': 2, 'kernel': 'poly'}
0.520 (+/-0.001) for {'gamma': 1e-05, 'C': 1000, 'degree': 2, 'kernel': 'poly'}

0.980 (+/-0.001) for {'gamma': 0.1, 'C': 1000, 'degree': 3, 'kernel': 'poly'}
0.980 (+/-0.001) for {'gamma': 0.01, 'C': 1000, 'degree': 3, 'kernel': 'poly'}
0.977 (+/-0.001) for {'gamma': 0.001, 'C': 1000, 'degree': 3, 'kernel': 'poly'}
0.786 (+/-0.003) for {'gamma': 0.0001, 'C': 1000, 'degree': 3, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 1000, 'degree': 3, 'kernel': 'poly'}

0.980 (+/-0.002) for {'gamma': 0.1, 'C': 1000, 'degree': 4, 'kernel': 'poly'}
0.980 (+/-0.002) for {'gamma': 0.01, 'C': 1000, 'degree': 4, 'kernel': 'poly'}
0.977 (+/-0.001) for {'gamma': 0.001, 'C': 1000, 'degree': 4, 'kernel': 'poly'}
0.336 (+/-0.001) for {'gamma': 0.0001, 'C': 1000, 'degree': 4, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 1000, 'degree': 4, 'kernel': 'poly'}

0.980 (+/-0.002) for {'gamma': 0.1, 'C': 1000, 'degree': 5, 'kernel': 'poly'}
0.980 (+/-0.002) for {'gamma': 0.01, 'C': 1000, 'degree': 5, 'kernel': 'poly'}
0.965 (+/-0.002) for {'gamma': 0.001, 'C': 1000, 'degree': 5, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 1000, 'degree': 5, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 1000, 'degree': 5, 'kernel': 'poly'}

0.981 (+/-0.002) for {'gamma': 0.1, 'C': 1000, 'degree': 6, 'kernel': 'poly'}
0.981 (+/-0.002) for {'gamma': 0.01, 'C': 1000, 'degree': 6, 'kernel': 'poly'}
0.940 (+/-0.002) for {'gamma': 0.001, 'C': 1000, 'degree': 6, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 1000, 'degree': 6, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 1000, 'degree': 6, 'kernel': 'poly'}

0.981 (+/-0.002) for {'gamma': 0.1, 'C': 1000, 'degree': 7, 'kernel': 'poly'}
